,fixed distance ,,,,,,,,,
id,N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg],abs,Column1,double fold, Alpha [px/bit]
1310,5,50,54.9,307.71,0.39061,22.38,22.38,67.62,22.62,7.843
1284,5,50,54.86,308,-0.01818,-1.042,1.042,88.958,43.958,7.837
554,5,50,54.81,308.31,0.01786,1.023,1.023,88.977,43.977,7.83
1131,5,50,54.77,308.58,-0.31039,-17.784,17.784,72.216,27.216,7.824
1391,5,50,54.75,308.6,0.39061,22.38,22.38,67.62,22.62,7.821
1130,5,50,54.73,308.77,-0.16515,-9.462,9.462,80.538,35.538,7.818
497,5,50,54.71,308.88,0.12659,7.253,7.253,82.747,37.747,7.815
499,5,50,54.67,309.11,-0.21482,-12.308,12.308,77.692,32.692,7.811
498,5,50,54.67,309.06,-0.10866,-6.226,6.226,83.774,38.774,7.811
1257,5,50,54.66,309.13,-0.05258,-3.013,3.013,86.987,41.987,7.809
1156,5,50,54.65,309.22,-0.05352,-3.066,3.066,86.934,41.934,7.806
555,5,50,54.63,309.35,-0.16821,-9.638,9.638,80.362,35.362,7.805
1394,5,50,54.63,309.29,-0.16515,-9.462,9.462,80.538,35.538,7.805
1367,5,50,54.6,309.46,-0.10866,-6.226,6.226,83.774,38.774,7.801
1181,5,50,54.61,309.42,0,0,0,90,45,7.801
1393,5,50,54.6,309.5,0.01786,1.023,1.023,88.977,43.977,7.799
496,5,50,54.58,309.54,0.27095,15.524,15.524,74.476,29.476,7.797
1337,5,50,54.56,309.55,0.41451,23.75,23.75,66.25,21.25,7.794
527,5,50,54.56,309.76,-0.12659,-7.253,7.253,82.747,37.747,7.794
1392,5,50,54.54,309.8,0.17138,9.819,9.819,80.181,35.181,7.792
1182,5,50,54.54,309.83,-0.1974,-11.31,11.31,78.69,33.69,7.791
1285,5,50,54.54,309.83,-0.1974,-11.31,11.31,78.69,33.69,7.791
440,5,50,54.52,309.86,0.03702,2.121,2.121,87.879,42.879,7.789
504,5,50,54.5,310.08,-1.03351,-59.216,59.216,30.784,14.216,7.786
1129,5,50,54.5,310.02,0.01818,1.042,1.042,88.958,43.958,7.786
1134,5,50,54.48,310.22,-0.87377,-50.064,50.064,39.936,5.064,7.783
1286,5,50,54.48,310.21,-0.3274,-18.759,18.759,71.241,26.241,7.783
528,5,50,54.48,310.24,-0.34422,-19.722,19.722,70.278,25.278,7.782
1183,5,50,54.48,310.24,-0.34422,-19.722,19.722,70.278,25.278,7.782
1283,5,50,54.47,310.14,0.20464,11.725,11.725,78.275,33.275,7.782
553,5,50,54.45,310.36,0.23625,13.536,13.536,76.464,31.464,7.779
1255,5,50,54.45,310.3,0.32175,18.435,18.435,71.565,26.565,7.778
1179,5,50,54.44,310.3,0.39061,22.38,22.38,67.62,22.62,7.777
556,5,50,54.44,310.44,-0.31597,-18.104,18.104,71.896,26.896,7.777
1341,5,50,54.44,310.37,-0.24925,-14.281,14.281,75.719,30.719,7.777
567,5,50,54.43,310.33,-2.54859,-146.024,146.024,56.024,11.024,7.776
525,5,50,54.43,310.43,0.23625,13.536,13.536,76.464,31.464,7.776
1136,5,50,54.41,310.62,-1.2434,-71.241,71.241,18.759,26.241,7.773
506,5,50,54.41,310.6,-1.3734,-78.69,78.69,11.31,33.69,7.773
562,5,50,54.4,310.66,-1.42372,-81.573,81.573,8.427,36.573,7.772
1348,5,50,54.4,310.66,-1.69739,-97.253,97.253,7.253,37.747,7.772
501,5,50,54.39,310.7,-0.54348,-31.139,31.139,58.861,13.861,7.771
1232,5,50,54.4,310.64,-0.11066,-6.34,6.34,83.66,38.66,7.771
1340,5,50,54.4,310.64,-0.11066,-6.34,6.34,83.66,38.66,7.771
438,5,50,54.39,310.59,0.46365,26.565,26.565,63.435,18.435,7.77
1259,5,50,54.36,310.88,-0.42367,-24.274,24.274,65.726,20.726,7.766
1313,5,50,54.36,310.92,-0.18311,-10.491,10.491,79.509,34.509,7.765
1338,5,50,54.34,310.92,0.23625,13.536,13.536,76.464,31.464,7.763
500,5,50,54.33,311.05,-0.35031,-20.072,20.072,69.928,24.928,7.762
1292,5,50,54.33,311.09,-1.36615,-78.275,78.275,11.725,33.275,7.761
1396,5,50,54.31,311.21,-0.48885,-28.009,28.009,61.991,16.991,7.758
1132,5,50,54.31,311.2,-0.48018,-27.512,27.512,62.488,17.488,7.758
1287,5,50,54.31,311.2,-0.48018,-27.512,27.512,62.488,17.488,7.758
1282,5,50,54.31,311.09,0.40489,23.199,23.199,66.801,21.801,7.758
1361,5,50,54.31,310.95,1.18019,67.62,67.62,22.38,22.62,7.758
1207,5,50,54.29,311.24,-0.0726,-4.16,4.16,85.84,40.84,7.756
1256,5,50,54.29,311.21,0.12891,7.386,7.386,82.614,37.614,7.755
439,5,50,54.28,311.24,0.27095,15.524,15.524,74.476,29.476,7.754
1112,5,50,54.28,311.33,-1.78947,-102.529,102.529,12.529,32.471,7.754
526,5,50,54.28,311.33,0.05449,3.122,3.122,86.878,41.878,7.754
1212,5,50,54.27,311.41,-1.03351,-59.216,59.216,30.784,14.216,7.753
1365,5,50,54.27,311.23,0.25825,14.797,14.797,75.203,30.203,7.753
1320,5,50,54.27,311.41,-1.5708,-90,90,0,45,7.753
1211,5,50,54.27,311.43,-0.8486,-48.622,48.622,41.378,3.622,7.752
1186,5,50,54.26,311.47,-0.90175,-51.667,51.667,38.333,6.667,7.751
1342,5,50,54.25,311.54,-0.43114,-24.702,24.702,65.298,20.298,7.75
1387,5,50,54.25,311.25,1.28996,73.909,73.909,16.091,28.909,7.75
1321,5,50,54.25,311.46,-1.77175,-101.514,101.514,11.514,33.486,7.75
441,5,50,54.25,311.54,-0.14708,-8.427,8.427,81.573,36.573,7.75
1368,5,50,54.24,311.51,-0.2985,-17.103,17.103,72.897,27.897,7.749
529,5,50,54.24,311.6,-0.47952,-27.474,27.474,62.526,17.526,7.748
536,5,50,54.24,311.54,-1.90404,-109.094,109.094,19.094,25.906,7.748
551,5,50,54.23,311.49,0.58308,33.408,33.408,56.592,11.592,7.747
1082,5,50,54.21,311.71,-0.07006,-4.014,4.014,85.986,40.986,7.744
517,5,50,54.2,311.44,2.16922,124.287,124.287,34.287,10.713,7.743
1265,5,50,54.2,311.77,-1.6434,-94.16,94.16,4.16,40.84,7.743
1109,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1161,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1291,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1395,5,50,54.19,311.87,-0.35031,-20.072,20.072,69.928,24.928,7.742
1314,5,50,54.18,311.9,-0.38051,-21.801,21.801,68.199,23.199,7.741
1311,5,50,54.19,311.79,0.1622,9.293,9.293,80.707,35.707,7.741
531,5,50,54.18,311.95,-0.86418,-49.514,49.514,40.486,4.514,7.74
524,5,50,54.18,311.79,0.44752,25.641,25.641,64.359,19.359,7.74
534,5,50,54.18,312,-1.43948,-82.476,82.476,7.524,37.476,7.74
688,5,50,54.17,311.88,0.62464,35.789,35.789,54.211,9.211,7.739
1263,5,50,54.17,311.97,-1.16354,-66.666,66.666,23.334,21.666,7.739
1332,5,50,54.17,311.67,1.64613,94.316,94.316,4.316,40.684,7.738
1204,5,50,54.16,311.91,0.593,33.977,33.977,56.023,11.023,7.737
1135,5,50,54.16,312.05,-1.04002,-59.589,59.589,30.411,14.589,7.737
508,5,50,54.16,311.98,-1.85685,-106.39,106.39,16.39,28.61,7.737
1230,5,50,54.16,311.88,0.27095,15.524,15.524,74.476,29.476,7.737
1116,5,50,54.15,311.91,-2.80835,-160.907,160.907,70.907,25.907,7.735
1180,5,50,54.14,312.04,0.20464,11.725,11.725,78.275,33.275,7.735
1155,5,50,54.14,312.08,0.1622,9.293,9.293,80.707,35.707,7.734
503,5,50,54.13,312.22,-0.86418,-49.514,49.514,40.486,4.514,7.733
1398,5,50,54.13,312.22,-0.8876,-50.856,50.856,39.144,5.856,7.733
1127,5,50,54.13,312,0.44752,25.641,25.641,64.359,19.359,7.733
1184,5,50,54.12,312.26,-0.49642,-28.443,28.443,61.557,16.557,7.732
1364,5,50,54.13,312.08,0.49642,28.443,28.443,61.557,16.557,7.732
1206,5,50,54.13,312.13,0.14444,8.276,8.276,81.724,36.724,7.732
1281,5,50,54.12,312.13,0.54348,31.139,31.139,58.861,13.861,7.731
558,5,50,54.11,312.34,-0.61377,-35.166,35.166,54.834,9.834,7.73
505,5,50,54.11,312.4,-1.19707,-68.587,68.587,21.413,23.587,7.73
1270,5,50,54.11,312.13,-2.80835,-160.907,160.907,70.907,25.907,7.73
679,5,50,54.1,312.13,-2.74396,-157.218,157.218,67.218,22.218,7.729
564,5,50,54.1,312.34,-1.85685,-106.39,106.39,16.39,28.61,7.729
518,5,50,54.1,312.05,1.85163,106.091,106.091,16.091,28.909,7.728
540,5,50,54.1,312.15,-2.86579,-164.198,164.198,74.198,29.198,7.728
1366,5,50,54.1,312.3,0.09233,5.29,5.29,84.71,39.71,7.728
1304,5,50,54.08,312.12,1.91009,109.44,109.44,19.44,25.56,7.726
1339,5,50,54.08,312.46,0.09233,5.29,5.29,84.71,39.71,7.726
1279,5,50,54.07,312.35,1.09062,62.488,62.488,27.512,17.488,7.725
513,5,50,54.07,312.33,-3.06765,-175.764,175.764,85.764,40.764,7.724
559,5,50,54.06,312.6,-0.83798,-48.013,48.013,41.987,3.013,7.723
1363,5,50,54.06,312.45,0.6288,36.027,36.027,53.973,8.973,7.723
1254,5,50,54.06,312.45,0.5344,30.619,30.619,59.381,14.381,7.723
547,5,50,54.06,312.29,1.62432,93.067,93.067,3.067,41.933,7.723
1209,5,50,54.05,312.68,-0.43984,-25.201,25.201,64.799,19.799,7.722
1233,5,50,54.05,312.65,-0.35031,-20.072,20.072,69.928,24.928,7.722
1128,5,50,54.05,312.57,0.24053,13.782,13.782,76.218,31.218,7.722
1227,5,50,54.05,312.5,1.10715,63.435,63.435,26.565,18.435,7.721
1373,5,50,54.05,312.63,-1.2723,-72.897,72.897,17.103,27.897,7.721
1369,5,50,54.04,312.74,-0.44752,-25.641,25.641,64.359,19.359,7.72
1162,5,50,54.04,312.72,-1.34814,-77.243,77.243,12.757,32.243,7.72
1110,5,50,54.04,312.73,-1.36615,-78.275,78.275,11.725,33.275,7.72
1138,5,50,54.04,312.74,-1.64086,-94.014,94.014,4.014,40.986,7.72
1309,5,50,54.03,312.66,0.55284,31.675,31.675,58.325,13.325,7.719
1290,5,50,54.03,312.77,-1.01796,-58.325,58.325,31.675,13.325,7.719
549,5,50,54.04,312.56,1.11535,63.905,63.905,26.095,18.905,7.719
1111,5,50,54.03,312.78,-1.58865,-91.023,91.023,1.023,43.977,7.719
1417,5,50,54.03,312.7,0.68319,39.144,39.144,50.856,5.856,7.718
1260,5,50,54.02,312.78,-0.6078,-34.825,34.825,55.175,10.175,7.718
1187,5,50,54.02,312.85,-1.06551,-61.049,61.049,28.951,16.049,7.717
1399,5,50,54.02,312.85,-1.06551,-61.049,61.049,28.951,16.049,7.717
495,5,50,54.02,312.75,0.47178,27.031,27.031,62.969,17.969,7.717
1231,5,50,54.02,312.77,0.12891,7.386,7.386,82.614,37.614,7.717
502,5,50,54.01,312.92,-0.6288,-36.027,36.027,53.973,8.973,7.716
1113,5,50,54.01,312.79,-2.02625,-116.096,116.096,26.096,18.904,7.716
1250,5,50,54.01,312.56,1.60714,92.083,92.083,2.083,42.917,7.716
1318,5,50,54,312.98,-1.10715,-63.435,63.435,26.565,18.435,7.714
1208,5,50,53.99,313.03,-0.22266,-12.758,12.758,77.242,32.242,7.713
1258,5,50,53.99,313.03,-0.22266,-12.758,12.758,77.242,32.242,7.713
548,5,50,53.99,312.8,1.36984,78.486,78.486,11.514,33.486,7.712
1344,5,50,53.98,313.11,-0.85024,-48.715,48.715,41.285,3.715,7.711
552,5,50,53.98,312.98,0.40489,23.199,23.199,66.801,21.801,7.711
1205,5,50,53.98,313.04,0.40489,23.199,23.199,66.801,21.801,7.711
1317,5,50,53.97,313.13,-0.942,-53.973,53.973,36.027,8.973,7.71
1315,5,50,53.97,313.14,-0.5681,-32.55,32.55,57.45,12.45,7.71
560,5,50,53.97,313.13,-1.02401,-58.671,58.671,31.329,13.671,7.71
515,5,50,53.97,312.81,2.71959,155.821,155.821,65.821,20.821,7.71
1154,5,50,53.97,313.04,0.39763,22.782,22.782,67.218,22.218,7.71
492,5,50,53.97,312.9,1.20765,69.193,69.193,20.807,24.193,7.71
519,5,50,53.97,312.87,1.66146,95.195,95.195,5.195,39.805,7.71
1390,5,50,53.97,313.06,0.53728,30.784,30.784,59.216,14.216,7.709
1298,5,50,53.96,312.95,-2.8023,-160.56,160.56,70.56,25.56,7.709
1157,5,50,53.96,313.14,-0.25367,-14.534,14.534,75.466,30.466,7.709
1239,5,50,53.97,313.17,-1.71787,-98.427,98.427,8.427,36.573,7.709
1117,5,50,53.96,312.9,-3.03293,-173.774,173.774,83.774,38.774,7.709
1397,5,50,53.96,313.17,-0.68319,-39.144,39.144,50.856,5.856,7.708
1336,5,50,53.96,313.05,0.6288,36.027,36.027,53.973,8.973,7.708
1229,5,50,53.96,313.05,0.52807,30.256,30.256,59.744,14.744,7.708
1289,5,50,53.95,313.28,-0.83798,-48.013,48.013,41.987,3.013,7.707
821,5,50,53.95,313.11,0.63977,36.656,36.656,53.344,8.344,7.707
545,5,50,53.95,312.88,2.16922,124.287,124.287,34.287,10.713,7.707
542,5,50,53.95,312.94,2.93313,168.056,168.056,78.056,33.056,7.707
537,5,50,53.94,313.22,-2.11122,-120.964,120.964,30.964,14.036,7.706
561,5,50,53.94,313.39,-1.20765,-69.193,69.193,20.807,24.193,7.705
1409,5,50,53.94,312.96,2.77845,159.193,159.193,69.193,24.193,7.705
520,5,50,53.94,313.05,1.38769,79.509,79.509,10.491,34.509,7.705
1185,5,50,53.92,313.36,-0.68319,-39.144,39.144,50.856,5.856,7.703
1322,5,50,53.92,313.33,-2.00194,-114.703,114.703,24.703,20.297,7.703
1278,5,50,53.92,313.14,1.34814,77.243,77.243,12.757,32.243,7.703
1359,5,50,53.92,313.14,1.74218,99.819,99.819,9.819,35.181,7.703
494,5,50,53.91,313.29,0.72055,41.285,41.285,48.715,3.715,7.701
1413,5,50,53.91,313.18,1.68145,96.34,96.34,6.34,38.66,7.701
521,5,50,53.9,313.31,1.12395,64.398,64.398,25.602,19.398,7.7
1160,5,50,53.89,313.6,-0.942,-53.973,53.973,36.027,8.973,7.699
1326,5,50,53.89,313.35,-3.01028,-172.476,172.476,82.476,37.476,7.699
1261,5,50,53.89,313.63,-0.83798,-48.013,48.013,41.987,3.013,7.698
491,5,50,53.88,313.4,1.53235,87.797,87.797,2.203,42.797,7.698
1307,5,50,53.88,313.48,1.06551,61.049,61.049,28.951,16.049,7.697
1288,5,50,53.87,313.73,-0.61377,-35.166,35.166,54.834,9.834,7.696
1345,5,50,53.87,313.73,-1.03351,-59.216,59.216,30.784,14.216,7.696
557,5,50,53.87,313.7,-0.48784,-27.951,27.951,62.049,17.049,7.696
1324,5,50,53.86,313.65,-2.50182,-143.344,143.344,53.344,8.344,7.694
1164,5,50,53.86,313.68,-1.77926,-101.944,101.944,11.944,33.056,7.694
1294,5,50,53.86,313.68,-1.77926,-101.944,101.944,11.944,33.056,7.694
1244,5,50,53.85,313.55,-3.06626,-175.684,175.684,85.684,40.684,7.693
523,5,50,53.84,313.77,0.65457,37.504,37.504,52.496,7.496,7.692
1370,5,50,53.83,313.94,-0.61377,-35.166,35.166,54.834,9.834,7.69
1108,5,50,53.83,313.95,-0.96299,-55.176,55.176,34.824,10.176,7.69
1276,5,50,53.83,313.6,1.83379,105.069,105.069,15.069,29.931,7.69
1266,5,50,53.83,313.9,-1.82905,-104.797,104.797,14.797,30.203,7.69
1362,5,50,53.82,313.72,0.89883,51.499,51.499,38.501,6.499,7.689
1264,5,50,53.83,313.98,-1.4086,-80.707,80.707,9.293,35.707,7.689
1407,5,50,53.83,313.73,-3.03094,-173.66,173.66,83.66,38.66,7.689
1371,5,50,53.82,314.02,-0.89028,-51.009,51.009,38.991,6.009,7.688
1352,5,50,53.82,313.82,-2.66142,-152.488,152.488,62.488,17.488,7.688
1251,5,50,53.82,313.7,1.2723,72.897,72.897,17.103,27.897,7.688
1402,5,50,53.82,314.04,-1.71787,-98.427,98.427,8.427,36.573,7.688
541,5,50,53.82,313.78,3.14159,180,180,90,45,7.688
487,5,50,53.81,313.75,2.66982,152.969,152.969,62.969,17.969,7.687
1202,5,50,53.81,313.84,1.15629,66.251,66.251,23.749,21.251,7.687
566,5,50,53.8,314.06,-2.35619,-135,135,45,0,7.686
532,5,50,53.8,314.11,-1.05841,-60.642,60.642,29.358,15.642,7.686
1144,5,50,53.8,313.8,-3.10525,-177.918,177.918,87.918,42.918,7.686
1330,5,50,53.8,313.77,2.16415,123.997,123.997,33.997,11.003,7.685
1346,5,50,53.79,314.17,-1.19029,-68.199,68.199,21.801,23.199,7.685
1331,5,50,53.79,313.79,1.89255,108.435,108.435,18.435,26.565,7.685
530,5,50,53.79,314.22,-0.6288,-36.027,36.027,53.973,8.973,7.684
1106,5,50,53.79,314.21,-0.51239,-29.358,29.358,60.642,15.642,7.684
1388,5,50,53.79,313.99,1.07437,61.557,61.557,28.443,16.557,7.684
1158,5,50,53.78,314.23,-0.48784,-27.951,27.951,62.049,17.049,7.684
1170,5,50,53.79,313.86,2.8786,164.932,164.932,74.932,29.932,7.684
1372,5,50,53.78,314.23,-1.08194,-61.991,61.991,28.009,16.991,7.683
546,5,50,53.78,313.89,1.85685,106.39,106.39,16.39,28.61,7.683
1169,5,50,53.78,313.91,-3.10525,-177.918,177.918,87.918,42.918,7.683
1163,5,50,53.78,314.2,-1.5708,-90,90,0,45,7.683
1386,5,50,53.77,313.97,1.58931,91.061,91.061,1.061,43.939,7.682
538,5,50,53.77,314.28,-2.40743,-137.936,137.936,47.936,2.936,7.681
533,5,50,53.77,314.39,-1.24905,-71.565,71.565,18.435,26.565,7.681
1124,5,50,53.77,314.04,1.2723,72.897,72.897,17.103,27.897,7.681
1319,5,50,53.76,314.39,-1.34814,-77.243,77.243,12.757,32.243,7.68
514,5,50,53.76,314.06,2.95511,169.315,169.315,79.315,34.315,7.68
1381,5,50,53.76,314.06,2.95511,169.315,169.315,79.315,34.315,7.68
1200,5,50,53.74,314.1,1.74218,99.819,99.819,9.819,35.181,7.678
1353,5,50,53.74,314.17,-2.97339,-170.363,170.363,80.363,35.363,7.678
1149,5,50,53.74,314.09,1.73595,99.462,99.462,9.462,35.538,7.678
1137,5,50,53.75,314.44,-1.42372,-81.573,81.573,8.427,36.573,7.678
1238,5,50,53.75,314.44,-1.42372,-81.573,81.573,8.427,36.573,7.678
1347,5,50,53.75,314.44,-1.42372,-81.573,81.573,8.427,36.573,7.678
1150,5,50,53.74,314.17,1.48014,84.806,84.806,5.194,39.806,7.677
1220,5,50,53.74,314.21,-3.06626,-175.684,175.684,85.684,40.684,7.677
1271,5,50,53.74,314.21,-3.06626,-175.684,175.684,85.684,40.684,7.677
1299,5,50,53.74,314.21,-3.06626,-175.684,175.684,85.684,40.684,7.677
1400,5,50,53.74,314.57,-1.31254,-75.203,75.203,14.797,30.203,7.676
1203,5,50,53.73,314.31,0.8876,50.856,50.856,39.144,5.856,7.675
1086,5,50,53.73,314.56,-1.03351,-59.216,59.216,30.784,14.216,7.675
565,5,50,53.72,314.55,-2.09223,-119.876,119.876,29.876,15.124,7.674
1325,5,50,53.72,314.41,-2.76787,-158.587,158.587,68.587,23.587,7.674
1252,5,50,53.7,314.51,1.06551,61.049,61.049,28.951,16.049,7.672
1104,5,50,53.7,314.61,-0.05449,-3.122,3.122,86.878,41.878,7.672
543,5,50,53.7,314.38,2.65274,151.991,151.991,61.991,16.991,7.671
1273,5,50,53.7,314.38,2.65376,152.049,152.049,62.049,17.049,7.671
1118,5,50,53.7,314.43,2.93695,168.275,168.275,78.275,33.275,7.671
1401,5,50,53.7,314.72,-1.47847,-84.71,84.71,5.29,39.71,7.671
1178,5,50,53.69,314.66,0.63584,36.431,36.431,53.569,8.569,7.67
1084,5,50,53.69,314.79,-0.5681,-32.55,32.55,57.45,12.45,7.67
1236,5,50,53.69,314.77,-1.0083,-57.771,57.771,32.229,12.771,7.67
1142,5,50,53.69,314.62,-2.62016,-150.124,150.124,60.124,15.124,7.67
1188,5,50,53.69,314.76,-1.2723,-72.897,72.897,17.103,27.897,7.67
1272,5,50,53.69,314.5,2.96174,169.695,169.695,79.695,34.695,7.67
1081,5,50,53.69,314.68,0.1622,9.293,9.293,80.707,35.707,7.67
443,5,50,53.68,314.83,-0.63977,-36.656,36.656,53.344,8.344,7.669
1262,5,50,53.68,314.82,-1.02401,-58.671,58.671,31.329,13.671,7.669
1213,5,50,53.68,314.83,-1.28474,-73.611,73.611,16.389,28.611,7.669
1360,5,50,53.68,314.45,1.42635,81.724,81.724,8.276,36.724,7.669
1210,5,50,53.68,314.86,-0.593,-33.977,33.977,56.023,11.023,7.668
490,5,50,53.67,314.54,1.7976,102.995,102.995,12.995,32.005,7.668
1380,5,50,53.68,314.55,-3.03094,-173.66,173.66,83.66,38.66,7.668
1165,5,50,53.67,314.84,-2.05097,-117.512,117.512,27.512,17.488,7.667
1295,5,50,53.67,314.84,-2.05097,-117.512,117.512,27.512,17.488,7.667
1328,5,50,53.67,314.52,2.76109,158.199,158.199,68.199,23.199,7.667
442,5,50,53.67,314.91,-0.36717,-21.038,21.038,68.962,23.962,7.667
1335,5,50,53.66,314.66,0.88507,50.711,50.711,39.289,5.711,7.666
1343,5,50,53.66,314.94,-0.60323,-34.563,34.563,55.437,10.437,7.666
1105,5,50,53.66,314.95,-0.304,-17.418,17.418,72.582,27.582,7.666
516,5,50,53.65,314.62,2.43498,139.514,139.514,49.514,4.514,7.665
1416,5,50,53.65,314.74,0.93103,53.344,53.344,36.656,8.344,7.665
1083,5,50,53.66,314.93,-0.35031,-20.072,20.072,69.928,24.928,7.665
1312,5,50,53.65,314.93,-0.0555,-3.18,3.18,86.82,41.82,7.665
512,5,50,53.65,314.87,-2.8023,-160.56,160.56,70.56,25.56,7.664
1333,5,50,53.64,314.71,1.38769,79.509,79.509,10.491,34.509,7.664
1190,5,50,53.65,314.96,-1.739,-99.638,99.638,9.638,35.362,7.664
1275,5,50,53.64,314.7,2.12118,121.535,121.535,31.535,13.465,7.663
1379,5,50,53.64,314.86,-2.78497,-159.567,159.567,69.567,24.567,7.663
1168,5,50,53.64,314.81,-2.8023,-160.56,160.56,70.56,25.56,7.663
1267,5,50,53.63,315.07,-2.10157,-120.411,120.411,30.411,14.589,7.662
1194,5,50,53.64,314.84,-2.77845,-159.193,159.193,69.193,24.193,7.662
1374,5,50,53.63,315.15,-1.4982,-85.84,85.84,4.16,40.84,7.661
507,5,50,53.63,315.16,-1.62629,-93.18,93.18,3.18,41.82,7.661
1125,5,50,53.62,314.95,1.00407,57.529,57.529,32.471,12.529,7.66
1349,5,50,53.62,315.2,-1.91635,-109.799,109.799,19.799,25.201,7.66
1408,5,50,53.62,314.87,3.02887,173.541,173.541,83.541,38.541,7.66
1305,5,50,53.62,314.87,1.64613,94.316,94.316,4.316,40.684,7.66
1234,5,50,53.61,315.25,-0.5779,-33.111,33.111,56.889,11.889,7.659
1385,5,50,53.61,314.88,1.80189,103.241,103.241,13.241,31.759,7.659
